Buckets      Algo1_Time      Algo2_Time     
----------------------------------------------------------
20           92.7395840000   104.8920900000 
40           55.6164220000   54.9218640000  
60           39.7468480000   35.3328960000  
80           26.7594570000   26.7364640000  
100          20.3335110000   20.7822120000  
120          17.2313090000   15.2350230000  
140          14.3156400000   14.0971380000  
160          11.9225320000   11.3090560000  
180          10.4698020000   10.2452360000  
200          9.4208460000    9.1170710000   
400          5.3283970000    4.9578820000   
600          3.4595150000    3.4151870000   
800          2.6675880000    2.7862250000   
1000         2.2004680000    2.0174640000   
1200         1.7355220000    1.7502430000   
1400         1.5651940000    1.5128520000   
1600         1.4483550000    1.3233430000   
1800         1.4235220000    1.2645490000   
2000         1.1639520000    1.1109150000   
4000         0.6651500000    0.6867310000   
6000         0.5398950000    0.5908010000   
8000         0.4320150000    0.5103800000   
10000        0.3908200000    0.3584990000   
12000        0.3657340000    0.3451080000   
14000        0.3275880000    0.3153090000   
16000        0.3609910000    0.2874790000   
18000        0.2969950000    0.3113570000   
20000        0.2778570000    0.2781180000   
40000        0.2490030000    0.2511950000   
60000        0.2321500000    0.2600490000   
80000        0.2363310000    0.2636700000   
100000       0.2201920000    0.2077780000   
120000       0.2223680000    0.3775920000   
140000       0.2216490000    0.2274100000   
160000       0.2418790000    0.2256600000   
180000       0.2229410000    0.2436330000   
200000       0.2277320000    0.2296450000   
